,t_sim,t_fwd,t_adj,np
Boehm_JProteomeRes2014,0.000466,0.004681,0.0154706666666666,9.0
Rahman_MBS2016,0.000304,0.005513,0.0102253333333333,9.0
Crauste_CellSystems2017,0.0007766666666666,0.0136773333333333,0.0090416666666666,12.0
Oliveira_NatCommun2021,0.0005676666666666,0.0076589999999999,0.0162103333333333,12.0
Bruno_JExpBot2016,0.00071,0.0068506666666666,0.022052,13.0
Sneyd_PNAS2002,0.0020093333333333,0.0481223333333333,0.1772893333333333,15.0
Okuonghae_ChaosSolitonsFractals2020,0.000307,0.0058346666666666,0.0119859999999999,16.0
Fujita_SciSignal2010,0.0032719999999999,0.1275896666666666,0.1147786666666666,19.0
Elowitz_Nature2000,0.0014169999999999,0.0400339999999999,0.0633816666666666,21.0
Brannmark_JBC2010,0.0033346666666666,0.079793,0.0993943333333333,22.0
Fiedler_BMC2016,0.0007223333333333,0.0230513333333333,0.0312776666666666,22.0
Borghans_BiophysChem1997,0.0026103333333333,0.070954,0.0578419999999999,23.0
Schwen_PONE2014,0.0056396666666666,0.1434056666666666,0.260696,30.0
Weber_BMC2015,0.0012153333333333,0.0619049999999999,0.0338066666666666,36.0
Isensee_JCB2018,0.0611713333333333,2.977282666666667,2.0799070000000004,46.0
Zheng_PNAS2012,0.0002233333333333,0.0143029999999999,0.0198303333333333,46.0
Giordano_Nature2020,0.000338,0.009388,0.0138623333333333,50.0
Beer_MolBioSystems2014,0.0219713333333332,0.1799096666666658,4.65779333333333,72.0
Lucarelli_CellSystems2018,0.010053,1.1521606666666666,0.3707426666666666,84.0
Bachmann_MSB2011,0.0176436666666666,1.066277,0.7284783333333332,113.0
