,t_sim,t_fwd,t_adj,np
Rahman_MBS2016,0.0002933333333333,0.0053013333333333,0.0098869999999999,9.0
Boehm_JProteomeRes2014,0.0004313333333333,0.004519,0.0154006666666666,9.0
Crauste_CellSystems2017,0.0006423333333333,0.014724,0.0090133333333333,12.0
Oliveira_NatCommun2021,0.000763,0.0077716666666666,0.0167366666666666,12.0
Bruno_JExpBot2016,0.0008583333333333,0.0070566666666666,0.0210149999999999,13.0
Sneyd_PNAS2002,0.0024093333333333,0.0481616666666666,0.178484,15.0
Okuonghae_ChaosSolitonsFractals2020,0.000298,0.0064456666666666,0.0119193333333333,16.0
Fujita_SciSignal2010,0.003187,0.1280056666666666,0.1175693333333333,19.0
Elowitz_Nature2000,0.0015589999999999,0.0409813333333333,0.0637536666666666,21.0
Fiedler_BMC2016,0.0008206666666666,0.0227826666666666,0.0302046666666666,22.0
Brannmark_JBC2010,0.0034016666666666,0.0817833333333333,0.103844,22.0
Borghans_BiophysChem1997,0.0022076666666666,0.0724786666666666,0.0582526666666666,23.0
Schwen_PONE2014,0.0055506666666666,0.1431723333333333,0.2675446666666666,30.0
Weber_BMC2015,0.0011023333333333,0.06181,0.034009,36.0
Isensee_JCB2018,0.0607833333333333,2.9996613333333344,2.0998916666666667,46.0
Zheng_PNAS2012,0.0003556666666666,0.0142403333333333,0.0201116666666666,46.0
Giordano_Nature2020,0.0003823333333333,0.009971,0.0148433333333333,50.0
Beer_MolBioSystems2014,0.0221739999999999,0.1796716666666657,4.667911999999999,72.0
Lucarelli_CellSystems2018,0.0102373333333333,1.1727513333333337,0.376075,84.0
Bachmann_MSB2011,0.018541,1.081177,0.7312960000000001,113.0
