,t_sim,t_fwd,t_adj,np
Rahman_MBS2016,0.0002936666666666,0.0053503333333333,0.0101549999999999,9.0
Boehm_JProteomeRes2014,0.0004513333333333,0.0043893333333333,0.0154613333333333,9.0
Crauste_CellSystems2017,0.0006593333333333,0.0140329999999999,0.0090846666666666,12.0
Oliveira_NatCommun2021,0.000797,0.0086773333333333,0.0166049999999999,12.0
Bruno_JExpBot2016,0.0007156666666666,0.0067926666666666,0.0220803333333333,13.0
Sneyd_PNAS2002,0.002667,0.0488683333333333,0.1734036666666666,15.0
Okuonghae_ChaosSolitonsFractals2020,0.0003396666666666,0.0057153333333333,0.0118616666666666,16.0
Fujita_SciSignal2010,0.0032329999999999,0.12809,0.1160436666666666,19.0
Elowitz_Nature2000,0.0015806666666666,0.0412006666666666,0.0634953333333333,21.0
Fiedler_BMC2016,0.0008146666666666,0.022905,0.0310616666666666,22.0
Brannmark_JBC2010,0.0031286666666666,0.0817643333333333,0.1029356666666666,22.0
Borghans_BiophysChem1997,0.0023089999999999,0.0710793333333333,0.0577506666666666,23.0
Schwen_PONE2014,0.00569,0.1421966666666666,0.2645269999999999,30.0
Weber_BMC2015,0.0011906666666666,0.060919,0.033943,36.0
Isensee_JCB2018,0.0609473333333333,2.9868023333333347,2.080434333333334,46.0
Zheng_PNAS2012,0.0002116666666666,0.0147219999999999,0.0201619999999999,46.0
Giordano_Nature2020,0.0003883333333333,0.0100383333333333,0.0149573333333333,50.0
Beer_MolBioSystems2014,0.0221836666666665,0.1814139999999992,4.679524666666663,72.0
Lucarelli_CellSystems2018,0.0101173333333333,1.1577376666666668,0.375295,84.0
Bachmann_MSB2011,0.0184476666666666,1.0864219999999998,0.7304343333333335,113.0
