,t_sim,t_fwd,t_adj,np
Rahman_MBS2016,0.000294,0.005932,0.010513,9.0
Boehm_JProteomeRes2014,0.0004953333333333,0.004703,0.0160666666666666,9.0
Crauste_CellSystems2017,0.001005,0.0142986666666666,0.0092279999999999,12.0
Oliveira_NatCommun2021,0.0007963333333333,0.0085206666666666,0.0166853333333333,12.0
Bruno_JExpBot2016,0.0007403333333333,0.0068709999999999,0.0211906666666666,13.0
Sneyd_PNAS2002,0.0027986666666666,0.0480383333333333,0.176804,15.0
Okuonghae_ChaosSolitonsFractals2020,0.0003203333333333,0.0058626666666666,0.0116509999999999,16.0
Fujita_SciSignal2010,0.0033946666666666,0.1288423333333333,0.1166936666666666,19.0
Elowitz_Nature2000,0.0016923333333333,0.041053,0.0649163333333333,21.0
Fiedler_BMC2016,0.0007736666666666,0.0223973333333333,0.0302526666666666,22.0
Brannmark_JBC2010,0.003532,0.0815673333333333,0.1009133333333333,22.0
Borghans_BiophysChem1997,0.0022113333333333,0.07099,0.0583413333333333,23.0
Schwen_PONE2014,0.0059446666666666,0.1431946666666667,0.2640683333333333,30.0
Weber_BMC2015,0.0012443333333333,0.0626163333333333,0.0344903333333333,36.0
Isensee_JCB2018,0.0602193333333333,2.9733023333333324,2.0822586666666667,46.0
Zheng_PNAS2012,0.000212,0.0144813333333333,0.0199333333333333,46.0
Giordano_Nature2020,0.0003923333333333,0.0102636666666666,0.014395,50.0
Beer_MolBioSystems2014,0.0224916666666665,0.1787589999999988,4.669273666666664,72.0
Lucarelli_CellSystems2018,0.0100876666666666,1.1495286666666669,0.37236,84.0
Bachmann_MSB2011,0.0181743333333333,1.0882729999999998,0.7359810000000001,113.0
